"Stockholm, Sweden";"59.651";"17.918"
"Bangkok, Thailand";"13.681";"100.747"
"Cairo, Egypt";"30.121";"31.405"
"Jakarta, Indonesia";"-6.125";"106.655"
"Cape Town, South Africa";"-33.964";"18.601"
"Delhi, India";"28.566";"77.103"
"Dubai, UAE";"25.252";"55.364"
"Buenos Aires, Argentina";"-34.822";"-58.535"
"Rome, Italy";"41.800";"12.238"
"Hong Kong";"22.308";"113.915"
"Tokyo, Japan";"35.552";"139.779"
"Hawaii, USA";"21.318";"-157.921"
"New York, USA";"40.639";"-73.778"
"Los Angeles, USA";"33.942";"-118.407"
"Lima, Peru";"-12.021";"-77.114"
"London, UK";"51.470";"-0.461"
"Madrid, Spain";"40.471";"-3.562"
"Mexico";"19.436";"-99.072"
"Miami, USA";"25.793";"-80.290"
"Nairobi, Kenya";"-1.319";"36.927"
"Chicago, USA";"41.978";"-87.904"
"Beijing, China";"40.080";"116.584"
"Shanghai, China";"31.143";"121.805"
"Singapore";"1.350";"103.994"
"Sydney, Australia";"-33.946";"151.177"
"Santiago, Chile";"-33.393";"-70.785"
"Rio de Janeiro, Brazil";"-22.910";"-43.163"
"Moscow, Russia";"55.591";"37.261"
"Wellington, New Zealand";"-41.327";"174.804"
"Vancouver, Canada";"49.193";"-123.183"
